Time per thread(ms),Total time(ms),#threads,#products,#products per thread,Granularity,MoneyLock,#iterations
10.753,3258.0,10,1000,1000,INVENTORY,true,100
9.0,3081.0,10,1000,1000,INVENTORY,true,100
0.289,1860.0,10,1000,1000,PRODUCT,true,100
0.3,1940.0,10,1000,1000,PRODUCT,true,100
0.27,2023.0,10,1000,1000,PRODUCT,true,100
11.964,3354.0,10,1000,1000,INVENTORY,true,100
0.1643,18970.0,10,1000,1000,PRODUCT,true,1000
13.0774,32854.0,10,1000,1000,INVENTORY,true,1000
0.166,1889.0,10,1000,1000,NONE,true,100
0.152,1882.0,10,1000,1000,NONE,false,100
0.103,1861.0,10,1000,1000,PRODUCT,false,100
0.093,17561.0,10,1000,1000,PRODUCT,false,1000
0.111,17535.0,10,1000,1000,PRODUCT,true,1000
0.396,17478.0,1,1000,1000,PRODUCT,true,1000
0.184,15966.0,2,1000,500,PRODUCT,true,1000
0.188,13674.0,4,1000,250,PRODUCT,true,1000
0.1392,15762.0,5,1000,200,PRODUCT,true,1000
0.0477,15725.0,10,1000,100,PRODUCT,true,1000
0.2033,17181.0,10,1000,100,PRODUCT,false,1000
0.1871,16067.0,10,1000,100,PRODUCT,true,1000
0.1881,20333.0,10,1000,100,NONE,true,1000
